Number,ALICE+CMS Error,ATLAS Error,q,T,xx,yy,zz
127,33.01614843518291,20.245769494392558,1.4988205245238826,1.0,7.6046158843342555,1.0791978931537423,0.6011602472430307
128,33.01614838039063,20.245771048549415,1.4988205245238826,1.0,7.6046158843342555,1.079197878252581,0.6011602621441919
129,34.386880425265566,32.96589220144516,1.0000000000000249,0.9999999999999979,7.662112952624665,1.509898907564186,0.319934398161465
130,34.386880425265566,32.96589220144516,1.0000000000000249,0.9999999999999979,7.662112952624665,1.509898907564186,0.319934398161465
131,31.67521284208795,20.11535467885446,1.359612515881113,0.9999999999999994,7.620661840717356,1.199395483730204,0.5226773290293388
132,31.67521284208795,20.11535467885446,1.359612515881113,0.9999999999999994,7.620661840717356,1.199395483730204,0.5226773290293388
133,31.675212800025697,20.11535388626485,1.3596125307822742,0.9999999999999994,7.620661840717356,1.199395483730204,0.5226773290293388
134,31.67521313909601,20.1153537464308,1.359612515881113,0.9999999850988383,7.620661840717356,1.199395483730204,0.5226773290293388
135,31.675212847255906,20.11535452265095,1.359612515881113,0.9999999999999994,7.6206618556185175,1.199395483730204,0.5226773290293388
136,31.67521276947361,20.115355406869657,1.359612515881113,0.9999999999999994,7.620661840717356,1.1993954986313653,0.5226773290293388
137,31.675213051053696,20.11535692234695,1.359612515881113,0.9999999999999994,7.620661840717356,1.199395483730204,0.5226773439305
138,31.67521284208795,20.11535467885446,1.359612515881113,0.9999999999999994,7.620661840717356,1.199395483730204,0.5226773290293388
139,31.675212800025697,20.11535388626485,1.3596125307822742,0.9999999999999994,7.620661840717356,1.199395483730204,0.5226773290293388
140,31.67521313909601,20.1153537464308,1.359612515881113,0.9999999850988383,7.620661840717356,1.199395483730204,0.5226773290293388
141,31.675212847255906,20.11535452265095,1.359612515881113,0.9999999999999994,7.6206618556185175,1.199395483730204,0.5226773290293388
142,31.67521276947361,20.115355406869657,1.359612515881113,0.9999999999999994,7.620661840717356,1.1993954986313653,0.5226773290293388
143,31.675213051053696,20.11535692234695,1.359612515881113,0.9999999999999994,7.620661840717356,1.199395483730204,0.5226773439305
144,29.868524136135406,27.392908494346063,1.0000000000000018,0.9669404464510993,5.8644503965768084,1.5773079119817617,0.1294593489823348
145,29.868524136135406,27.392908494346063,1.0000000000000018,0.9669404464510993,5.8644503965768084,1.5773079119817617,0.1294593489823348
146,28.964942905201042,20.80541631924811,1.1708562229560031,0.982647437177318,6.69884753462625,1.3977571809929143,0.31628193135160504
147,28.964942905201042,20.80541631924811,1.1708562229560031,0.982647437177318,6.69884753462625,1.3977571809929143,0.31628193135160504
148,28.964943231947977,20.8054150421266,1.1708562378571643,0.982647437177318,6.69884753462625,1.3977571809929143,0.31628193135160504
149,28.96494269915667,20.805417163958428,1.1708562229560031,0.9826474520784791,6.69884753462625,1.3977571809929143,0.31628193135160504
150,28.96494293375372,20.80541614308479,1.1708562229560031,0.982647437177318,6.698847549527411,1.3977571809929143,0.31628193135160504
151,28.964942792127435,20.805417037385165,1.1708562229560031,0.982647437177318,6.69884753462625,1.3977571958940755,0.31628193135160504
152,28.964942571885384,20.80541858832028,1.1708562229560031,0.982647437177318,6.69884753462625,1.3977571809929143,0.31628194625276623
153,28.964942905201042,20.80541631924811,1.1708562229560031,0.982647437177318,6.69884753462625,1.3977571809929143,0.31628193135160504
154,28.964943231947977,20.8054150421266,1.1708562378571643,0.982647437177318,6.69884753462625,1.3977571809929143,0.31628193135160504
155,28.96494269915667,20.805417163958428,1.1708562229560031,0.9826474520784791,6.69884753462625,1.3977571809929143,0.31628193135160504
156,28.96494293375372,20.80541614308479,1.1708562229560031,0.982647437177318,6.698847549527411,1.3977571809929143,0.31628193135160504
157,28.964942792127435,20.805417037385165,1.1708562229560031,0.982647437177318,6.69884753462625,1.3977571958940755,0.31628193135160504
158,28.964942571885384,20.80541858832028,1.1708562229560031,0.982647437177318,6.69884753462625,1.3977571809929143,0.31628194625276623
159,40.467163092454314,37.27272568368233,1.0,0.7992015268559276,2.732352230600109,0.9795611280798495,0.059970724004157594
160,40.467163092454314,37.27272568368233,1.0,0.7992015268559276,2.732352230600109,0.9795611280798495,0.059970724004157594
161,28.94723131468669,20.16448318491762,1.1537706006604027,0.9643028461451789,6.302198004223635,1.3559375757016079,0.29065081061686027
162,28.94723131468669,20.16448318491762,1.1537706006604027,0.9643028461451789,6.302198004223635,1.3559375757016079,0.29065081061686027
163,28.947231648720273,20.16448186272443,1.153770615561564,0.9643028461451789,6.302198004223635,1.3559375757016079,0.29065081061686027
164,28.947231107376986,20.164484037578994,1.1537706006604027,0.9643028610463401,6.302198004223635,1.3559375757016079,0.29065081061686027
165,28.947231344994528,20.16448299615144,1.1537706006604027,0.9643028461451789,6.302198019124797,1.3559375757016079,0.29065081061686027
166,28.94723120129965,20.164483913873532,1.1537706006604027,0.9643028461451789,6.302198004223635,1.355937590602769,0.29065081061686027
167,28.947230983150362,20.164485460849384,1.1537706006604027,0.9643028461451789,6.302198004223635,1.3559375757016079,0.29065082551802146
