#: table_doi: 10.17182/hepdata.91996.v2/t2
#: name: Table 2
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.775,0.75,0.8,2.937e+00,1.503e-03,-1.503e-03,1.383e-01,-1.383e-01,1.032e-01,-1.032e-01
0.825,0.8,0.85,2.589e+00,1.432e-03,-1.432e-03,1.211e-01,-1.211e-01,9.169e-02,-9.169e-02
0.875,0.85,0.9,2.283e+00,1.363e-03,-1.363e-03,1.054e-01,-1.054e-01,8.105e-02,-8.105e-02
0.925,0.9,0.95,2.018e+00,1.298e-03,-1.298e-03,9.247e-02,-9.247e-02,7.224e-02,-7.224e-02
0.975,0.95,1.0,1.783e+00,1.223e-03,-1.223e-03,8.567e-02,-8.567e-02,6.428e-02,-6.428e-02
1.05,1.0,1.1,1.493e+00,7.860e-04,-7.860e-04,8.513e-02,-8.513e-02,6.705e-02,-6.705e-02
1.15,1.1,1.2,1.181e+00,6.916e-04,-6.916e-04,6.856e-02,-6.856e-02,5.375e-02,-5.375e-02
1.25,1.2,1.3,9.306e-01,6.067e-04,-6.067e-04,5.381e-02,-5.381e-02,4.318e-02,-4.318e-02
1.35,1.3,1.4,7.558e-01,5.476e-04,-5.476e-04,4.391e-02,-4.391e-02,3.518e-02,-3.518e-02
1.45,1.4,1.5,5.974e-01,4.808e-04,-4.808e-04,3.598e-02,-3.598e-02,2.920e-02,-2.920e-02
1.55,1.5,1.6,4.891e-01,4.359e-04,-4.359e-04,2.939e-02,-2.939e-02,2.356e-02,-2.356e-02
1.65,1.6,1.7,3.930e-01,3.868e-04,-3.868e-04,2.441e-02,-2.441e-02,2.001e-02,-2.001e-02
1.75,1.7,1.8,3.235e-01,3.515e-04,-3.515e-04,2.015e-02,-2.015e-02,1.633e-02,-1.633e-02
1.85,1.8,1.9,2.621e-01,3.138e-04,-3.138e-04,1.728e-02,-1.728e-02,1.434e-02,-1.434e-02
1.95,1.9,2.0,2.169e-01,2.855e-04,-2.855e-04,1.435e-02,-1.435e-02,1.181e-02,-1.181e-02
2.1,2.0,2.2,1.625e-01,1.736e-04,-1.736e-04,1.064e-02,-1.064e-02,8.843e-03,-8.843e-03
2.3,2.2,2.4,1.129e-01,1.440e-04,-1.440e-04,7.479e-03,-7.479e-03,6.142e-03,-6.142e-03
2.5,2.4,2.6,7.927e-02,1.202e-04,-1.202e-04,5.255e-03,-5.255e-03,4.314e-03,-4.314e-03
2.7,2.6,2.8,5.660e-02,1.011e-04,-1.011e-04,3.783e-03,-3.783e-03,3.082e-03,-3.082e-03
2.9,2.8,3.0,4.086e-02,8.546e-05,-8.546e-05,2.731e-03,-2.731e-03,2.224e-03,-2.224e-03
3.1,3.0,3.2,2.998e-02,7.304e-05,-7.304e-05,2.002e-03,-2.002e-03,1.630e-03,-1.630e-03
3.3,3.2,3.4,2.206e-02,6.215e-05,-6.215e-05,1.485e-03,-1.485e-03,1.201e-03,-1.201e-03
3.5,3.4,3.6,1.684e-02,5.438e-05,-5.438e-05,1.136e-03,-1.136e-03,9.189e-04,-9.189e-04
3.7,3.6,3.8,1.258e-02,4.659e-05,-4.659e-05,8.426e-04,-8.426e-04,6.862e-04,-6.862e-04
3.9,3.8,4.0,9.716e-03,4.086e-05,-4.086e-05,6.518e-04,-6.518e-04,5.308e-04,-5.308e-04
4.25,4.0,4.5,6.315e-03,2.070e-05,-2.070e-05,4.213e-04,-4.213e-04,3.442e-04,-3.442e-04
4.75,4.5,5.0,3.508e-03,1.538e-05,-1.538e-05,2.340e-04,-2.340e-04,1.912e-04,-1.912e-04
5.25,5.0,5.5,2.033e-03,1.159e-05,-1.159e-05,1.355e-04,-1.355e-04,1.109e-04,-1.109e-04
5.75,5.5,6.0,1.263e-03,9.137e-06,-9.137e-06,8.456e-05,-8.456e-05,6.903e-05,-6.903e-05
6.25,6.0,6.5,7.789e-04,7.050e-06,-7.050e-06,5.266e-05,-5.266e-05,4.368e-05,-4.368e-05
6.75,6.5,7.0,5.091e-04,5.700e-06,-5.700e-06,3.396e-05,-3.396e-05,2.817e-05,-2.817e-05
7.5,7.0,8.0,2.900e-04,3.042e-06,-3.042e-06,1.922e-05,-1.922e-05,1.590e-05,-1.590e-05
9.0,8.0,10.0,1.121e-04,1.327e-06,-1.327e-06,7.649e-06,-7.649e-06,6.317e-06,-6.317e-06
11.5,10.0,13.0,2.848e-05,5.403e-07,-5.403e-07,2.121e-06,-2.121e-06,1.690e-06,-1.690e-06
16.5,13.0,20.0,5.018e-06,1.482e-07,-1.482e-07,3.622e-07,-3.622e-07,2.867e-07,-2.867e-07

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VIII')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.670e+01,6.482e-03,-6.482e-03,7.576e-01,-7.576e-01,5.574e-01,-5.574e-01
0.225,0.2,0.25,1.676e+01,4.670e-03,-4.670e-03,7.201e-01,-7.201e-01,5.589e-01,-5.589e-01
0.275,0.25,0.3,1.565e+01,4.399e-03,-4.399e-03,6.741e-01,-6.741e-01,5.221e-01,-5.221e-01
0.32499999999999996,0.3,0.35,1.433e+01,4.149e-03,-4.149e-03,6.526e-01,-6.526e-01,4.783e-01,-4.783e-01
0.375,0.35,0.4,1.288e+01,3.883e-03,-3.883e-03,5.979e-01,-5.979e-01,4.302e-01,-4.302e-01
0.42500000000000004,0.4,0.45,1.146e+01,3.642e-03,-3.642e-03,5.498e-01,-5.498e-01,3.842e-01,-3.842e-01
0.475,0.45,0.5,1.015e+01,3.486e-03,-3.486e-03,4.961e-01,-4.961e-01,3.407e-01,-3.407e-01
0.525,0.5,0.55,8.979e+00,3.377e-03,-3.377e-03,4.484e-01,-4.484e-01,3.024e-01,-3.024e-01
0.575,0.55,0.6,7.957e+00,3.246e-03,-3.246e-03,4.065e-01,-4.065e-01,2.689e-01,-2.689e-01
0.625,0.6,0.65,7.042e+00,3.123e-03,-3.123e-03,3.599e-01,-3.599e-01,2.385e-01,-2.385e-01
0.675,0.65,0.7,6.251e+00,3.019e-03,-3.019e-03,3.099e-01,-3.099e-01,2.131e-01,-2.131e-01
0.725,0.7,0.75,5.558e+00,2.896e-03,-2.896e-03,2.640e-01,-2.640e-01,1.904e-01,-1.904e-01
0.775,0.75,0.8,4.945e+00,2.775e-03,-2.775e-03,2.300e-01,-2.300e-01,1.702e-01,-1.702e-01
0.825,0.8,0.85,4.409e+00,2.660e-03,-2.660e-03,2.038e-01,-2.038e-01,1.527e-01,-1.527e-01
0.875,0.85,0.9,3.943e+00,2.550e-03,-2.550e-03,1.800e-01,-1.800e-01,1.372e-01,-1.372e-01
0.925,0.9,0.95,3.534e+00,2.444e-03,-2.444e-03,1.601e-01,-1.601e-01,1.239e-01,-1.239e-01
0.975,0.95,1.0,3.162e+00,2.318e-03,-2.318e-03,1.507e-01,-1.507e-01,1.120e-01,-1.120e-01
1.05,1.0,1.1,2.694e+00,1.503e-03,-1.503e-03,1.523e-01,-1.523e-01,1.197e-01,-1.197e-01
1.15,1.1,1.2,2.179e+00,1.338e-03,-1.338e-03,1.257e-01,-1.257e-01,9.802e-02,-9.802e-02
1.25,1.2,1.3,1.758e+00,1.187e-03,-1.187e-03,1.015e-01,-1.015e-01,8.087e-02,-8.087e-02
1.35,1.3,1.4,1.454e+00,1.081e-03,-1.081e-03,8.362e-02,-8.362e-02,6.686e-02,-6.686e-02
1.45,1.4,1.5,1.174e+00,9.601e-04,-9.601e-04,7.002e-02,-7.002e-02,5.670e-02,-5.670e-02
1.55,1.5,1.6,9.765e-01,8.773e-04,-8.773e-04,5.796e-02,-5.796e-02,4.664e-02,-4.664e-02
1.65,1.6,1.7,7.968e-01,7.847e-04,-7.847e-04,4.907e-02,-4.907e-02,4.027e-02,-4.027e-02
1.75,1.7,1.8,6.651e-01,7.180e-04,-7.180e-04,4.089e-02,-4.089e-02,3.332e-02,-3.332e-02
1.85,1.8,1.9,5.470e-01,6.458e-04,-6.458e-04,3.566e-02,-3.566e-02,2.966e-02,-2.966e-02
1.95,1.9,2.0,4.590e-01,5.917e-04,-5.917e-04,3.000e-02,-3.000e-02,2.478e-02,-2.478e-02
2.1,2.0,2.2,3.495e-01,3.626e-04,-3.626e-04,2.257e-02,-2.257e-02,1.886e-02,-1.886e-02
2.3,2.2,2.4,2.482e-01,3.042e-04,-3.042e-04,1.621e-02,-1.621e-02,1.340e-02,-1.340e-02
2.5,2.4,2.6,1.773e-01,2.561e-04,-2.561e-04,1.158e-02,-1.158e-02,9.566e-03,-9.566e-03
2.7,2.6,2.8,1.289e-01,2.174e-04,-2.174e-04,8.482e-03,-8.482e-03,6.968e-03,-6.968e-03
2.9,2.8,3.0,9.424e-02,1.850e-04,-1.850e-04,6.182e-03,-6.182e-03,5.117e-03,-5.117e-03
3.1,3.0,3.2,7.010e-02,1.592e-04,-1.592e-04,4.610e-03,-4.610e-03,3.805e-03,-3.805e-03
3.3,3.2,3.4,5.211e-02,1.362e-04,-1.362e-04,3.426e-03,-3.426e-03,2.820e-03,-2.820e-03
3.5,3.4,3.6,4.024e-02,1.198e-04,-1.198e-04,2.657e-03,-2.657e-03,2.178e-03,-2.178e-03
3.7,3.6,3.8,3.052e-02,1.035e-04,-1.035e-04,2.005e-03,-2.005e-03,1.654e-03,-1.654e-03
3.9,3.8,4.0,2.345e-02,9.049e-05,-9.049e-05,1.542e-03,-1.542e-03,1.272e-03,-1.272e-03
4.25,4.0,4.5,1.553e-02,4.627e-05,-4.627e-05,1.021e-03,-1.021e-03,8.432e-04,-8.432e-04
4.75,4.5,5.0,8.914e-03,3.496e-05,-3.496e-05,5.819e-04,-5.819e-04,4.814e-04,-4.814e-04
5.25,5.0,5.5,5.254e-03,2.656e-05,-2.656e-05,3.415e-04,-3.415e-04,2.873e-04,-2.873e-04
5.75,5.5,6.0,3.285e-03,2.101e-05,-2.101e-05,2.149e-04,-2.149e-04,1.776e-04,-1.776e-04
6.25,6.0,6.5,2.044e-03,1.629e-05,-1.629e-05,1.331e-04,-1.331e-04,1.108e-04,-1.108e-04
6.75,6.5,7.0,1.374e-03,1.335e-05,-1.335e-05,8.943e-05,-8.943e-05,7.494e-05,-7.494e-05
7.5,7.0,8.0,8.102e-04,7.251e-06,-7.251e-06,5.255e-05,-5.255e-05,4.372e-05,-4.372e-05
9.0,8.0,10.0,3.174e-04,3.185e-06,-3.185e-06,2.117e-05,-2.117e-05,1.782e-05,-1.782e-05
11.5,10.0,13.0,8.838e-05,1.357e-06,-1.357e-06,6.394e-06,-6.394e-06,5.109e-06,-5.109e-06
16.5,13.0,20.0,1.531e-05,3.690e-07,-3.690e-07,1.190e-06,-1.190e-06,8.932e-07,-8.932e-07

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VII')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,2.229e+01,1.084e-02,-1.084e-02,1.013e+00,-1.013e+00,7.444e-01,-7.444e-01
0.225,0.2,0.25,2.217e+01,7.771e-03,-7.771e-03,9.531e-01,-9.531e-01,7.401e-01,-7.401e-01
0.275,0.25,0.3,2.063e+01,7.306e-03,-7.306e-03,8.890e-01,-8.890e-01,6.889e-01,-6.889e-01
0.32499999999999996,0.3,0.35,1.888e+01,6.889e-03,-6.889e-03,8.634e-01,-8.634e-01,6.305e-01,-6.305e-01
0.375,0.35,0.4,1.702e+01,6.460e-03,-6.460e-03,7.942e-01,-7.942e-01,5.698e-01,-5.698e-01
0.42500000000000004,0.4,0.45,1.523e+01,6.074e-03,-6.074e-03,7.315e-01,-7.315e-01,5.103e-01,-5.103e-01
0.475,0.45,0.5,1.356e+01,5.830e-03,-5.830e-03,6.636e-01,-6.636e-01,4.555e-01,-4.555e-01
0.525,0.5,0.55,1.209e+01,5.670e-03,-5.670e-03,6.059e-01,-6.059e-01,4.074e-01,-4.074e-01
