#: table_doi: 10.17182/hepdata.91996.v2/t3
#: name: Table 3
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.725,0.7,0.75,3.521e+00,4.064e-03,-4.064e-03,1.241e-01,-1.241e-01,7.043e-02,-7.043e-02
0.775,0.75,0.8,3.123e+00,3.884e-03,-3.884e-03,1.071e-01,-1.071e-01,6.245e-02,-6.245e-02
0.825,0.8,0.85,2.768e+00,3.710e-03,-3.710e-03,9.353e-02,-9.353e-02,5.557e-02,-5.557e-02
0.875,0.85,0.9,2.465e+00,3.549e-03,-3.549e-03,8.175e-02,-8.175e-02,5.042e-02,-5.042e-02
0.925,0.9,0.95,2.186e+00,3.380e-03,-3.380e-03,7.205e-02,-7.205e-02,4.556e-02,-4.556e-02
0.975,0.95,1.0,1.945e+00,3.194e-03,-3.194e-03,7.041e-02,-7.041e-02,4.142e-02,-4.142e-02
1.05,1.0,1.1,1.646e+00,2.063e-03,-2.063e-03,6.226e-02,-6.226e-02,3.623e-02,-3.623e-02
1.15,1.1,1.2,1.321e+00,1.826e-03,-1.826e-03,5.169e-02,-5.169e-02,3.051e-02,-3.051e-02
1.25,1.2,1.3,1.054e+00,1.606e-03,-1.606e-03,4.073e-02,-4.073e-02,2.627e-02,-2.627e-02
1.35,1.3,1.4,8.755e-01,1.470e-03,-1.470e-03,3.384e-02,-3.384e-02,2.183e-02,-2.183e-02
1.45,1.4,1.5,6.935e-01,1.286e-03,-1.286e-03,2.813e-02,-2.813e-02,1.935e-02,-1.935e-02
1.55,1.5,1.6,5.821e-01,1.183e-03,-1.183e-03,2.361e-02,-2.361e-02,1.624e-02,-1.624e-02
1.65,1.6,1.7,4.657e-01,1.045e-03,-1.045e-03,2.026e-02,-2.026e-02,1.465e-02,-1.465e-02
1.75,1.7,1.8,3.931e-01,9.626e-04,-9.626e-04,1.710e-02,-1.710e-02,1.236e-02,-1.236e-02
1.85,1.8,1.9,3.223e-01,8.627e-04,-8.627e-04,1.556e-02,-1.556e-02,1.218e-02,-1.218e-02
1.95,1.9,2.0,2.716e-01,7.934e-04,-7.934e-04,1.311e-02,-1.311e-02,1.027e-02,-1.027e-02
2.1,2.0,2.2,2.070e-01,4.861e-04,-4.861e-04,9.838e-03,-9.838e-03,7.820e-03,-7.820e-03
2.3,2.2,2.4,1.476e-01,4.086e-04,-4.086e-04,7.117e-03,-7.117e-03,5.582e-03,-5.582e-03
2.5,2.4,2.6,1.065e-01,3.458e-04,-3.458e-04,5.143e-03,-5.143e-03,4.022e-03,-4.022e-03
2.7,2.6,2.8,7.808e-02,2.944e-04,-2.944e-04,3.807e-03,-3.807e-03,2.950e-03,-2.950e-03
2.9,2.8,3.0,5.797e-02,2.529e-04,-2.529e-04,2.816e-03,-2.816e-03,2.190e-03,-2.190e-03
3.1,3.0,3.2,4.363e-02,2.187e-04,-2.187e-04,2.135e-03,-2.135e-03,1.649e-03,-1.649e-03
3.3,3.2,3.4,3.261e-02,1.877e-04,-1.877e-04,1.594e-03,-1.594e-03,1.233e-03,-1.233e-03
3.5,3.4,3.6,2.559e-02,1.667e-04,-1.667e-04,1.251e-03,-1.251e-03,9.672e-04,-9.672e-04
3.7,3.6,3.8,1.933e-02,1.434e-04,-1.434e-04,9.350e-04,-9.350e-04,7.304e-04,-7.304e-04
3.9,3.8,4.0,1.530e-02,1.274e-04,-1.274e-04,7.398e-04,-7.398e-04,5.779e-04,-5.779e-04
4.25,4.0,4.5,1.023e-02,6.543e-05,-6.543e-05,4.949e-04,-4.949e-04,3.871e-04,-3.871e-04
4.75,4.5,5.0,6.080e-03,5.031e-05,-5.031e-05,2.941e-04,-2.941e-04,2.301e-04,-2.301e-04
5.25,5.0,5.5,3.699e-03,3.872e-05,-3.872e-05,1.767e-04,-1.767e-04,1.399e-04,-1.399e-04
5.75,5.5,6.0,2.384e-03,3.108e-05,-3.108e-05,1.138e-04,-1.138e-04,9.013e-05,-9.013e-05
6.25,6.0,6.5,1.464e-03,2.388e-05,-2.388e-05,6.955e-05,-6.955e-05,5.583e-05,-5.583e-05
6.75,6.5,7.0,1.052e-03,2.024e-05,-2.024e-05,4.998e-05,-4.998e-05,4.012e-05,-4.012e-05
7.5,7.0,8.0,6.252e-04,1.103e-05,-1.103e-05,2.970e-05,-2.970e-05,2.384e-05,-2.384e-05
9.0,8.0,10.0,2.551e-04,4.927e-06,-4.927e-06,1.277e-05,-1.277e-05,1.050e-05,-1.050e-05
11.5,10.0,13.0,7.898e-05,2.214e-06,-2.214e-06,3.773e-06,-3.773e-06,3.054e-06,-3.054e-06
16.5,13.0,20.0,1.391e-05,6.071e-07,-6.071e-07,8.489e-07,-8.489e-07,6.525e-07,-6.525e-07

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
