#: table_doi: 10.17182/hepdata.91996.v2/t1
#: name: Table 1
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.32499999999999996,0.3,0.35,1.231e+01,4.430e-03,-4.430e-03,5.437e-01,-5.437e-01,4.127e-01,-4.127e-01
0.375,0.35,0.4,1.107e+01,4.143e-03,-4.143e-03,5.038e-01,-5.038e-01,3.721e-01,-3.721e-01
0.42500000000000004,0.4,0.45,9.838e+00,3.881e-03,-3.881e-03,4.664e-01,-4.664e-01,3.315e-01,-3.315e-01
0.475,0.45,0.5,8.722e+00,3.715e-03,-3.715e-03,4.223e-01,-4.223e-01,2.947e-01,-2.947e-01
0.525,0.5,0.55,7.690e+00,3.590e-03,-3.590e-03,3.829e-01,-3.829e-01,2.606e-01,-2.606e-01
0.575,0.55,0.6,6.811e+00,3.446e-03,-3.446e-03,3.476e-01,-3.476e-01,2.316e-01,-2.316e-01
0.625,0.6,0.65,6.008e+00,3.304e-03,-3.304e-03,3.076e-01,-3.076e-01,2.051e-01,-2.051e-01
0.675,0.65,0.7,5.330e+00,3.187e-03,-3.187e-03,2.643e-01,-2.643e-01,1.828e-01,-1.828e-01
0.725,0.7,0.75,4.743e+00,3.056e-03,-3.056e-03,2.265e-01,-2.265e-01,1.634e-01,-1.634e-01
0.775,0.75,0.8,4.218e+00,2.925e-03,-2.925e-03,1.998e-01,-1.998e-01,1.462e-01,-1.462e-01
0.825,0.8,0.85,3.759e+00,2.801e-03,-2.801e-03,1.759e-01,-1.759e-01,1.310e-01,-1.310e-01
0.875,0.85,0.9,3.363e+00,2.686e-03,-2.686e-03,1.555e-01,-1.555e-01,1.179e-01,-1.179e-01
