#: table_doi: 10.17182/hepdata.91996.v2/t4
#: name: Table 4
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data4.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
1.15,1.1,1.2,9.592e-01,9.828e-04,-9.828e-04,4.284e-02,-4.284e-02,3.023e-02,-3.023e-02
1.25,1.2,1.3,7.551e-01,8.616e-04,-8.616e-04,3.352e-02,-3.352e-02,2.479e-02,-2.479e-02
1.35,1.3,1.4,6.140e-01,7.782e-04,-7.782e-04,2.742e-02,-2.742e-02,2.028e-02,-2.028e-02
1.45,1.4,1.5,4.855e-01,6.830e-04,-6.830e-04,2.288e-02,-2.288e-02,1.735e-02,-1.735e-02
1.55,1.5,1.6,3.986e-01,6.200e-04,-6.200e-04,1.886e-02,-1.886e-02,1.404e-02,-1.404e-02
1.65,1.6,1.7,3.202e-01,5.500e-04,-5.500e-04,1.599e-02,-1.599e-02,1.239e-02,-1.239e-02
1.75,1.7,1.8,2.639e-01,5.001e-04,-5.001e-04,1.321e-02,-1.321e-02,1.013e-02,-1.013e-02
1.85,1.8,1.9,2.145e-01,4.469e-04,-4.469e-04,1.170e-02,-1.170e-02,9.333e-03,-9.333e-03
1.95,1.9,2.0,1.772e-01,4.063e-04,-4.063e-04,9.683e-03,-9.683e-03,7.665e-03,-7.665e-03
2.1,2.0,2.2,1.333e-01,2.474e-04,-2.474e-04,7.206e-03,-7.206e-03,5.749e-03,-5.749e-03
2.3,2.2,2.4,9.286e-02,2.056e-04,-2.056e-04,5.098e-03,-5.098e-03,4.013e-03,-4.013e-03
2.5,2.4,2.6,6.587e-02,1.723e-04,-1.723e-04,3.605e-03,-3.605e-03,2.838e-03,-2.838e-03
2.7,2.6,2.8,4.697e-02,1.449e-04,-1.449e-04,2.621e-03,-2.621e-03,2.034e-03,-2.034e-03
2.9,2.8,3.0,3.420e-02,1.230e-04,-1.230e-04,1.884e-03,-1.884e-03,1.491e-03,-1.491e-03
3.1,3.0,3.2,2.530e-02,1.055e-04,-1.055e-04,1.412e-03,-1.412e-03,1.090e-03,-1.090e-03
3.3,3.2,3.4,1.865e-02,8.985e-05,-8.985e-05,1.054e-03,-1.054e-03,8.076e-04,-8.076e-04
3.5,3.4,3.6,1.425e-02,7.866e-05,-7.866e-05,8.036e-04,-8.036e-04,6.175e-04,-6.175e-04
3.7,3.6,3.8,1.090e-02,6.819e-05,-6.819e-05,6.044e-04,-6.044e-04,4.708e-04,-4.708e-04
3.9,3.8,4.0,8.353e-03,5.956e-05,-5.956e-05,4.618e-04,-4.618e-04,3.597e-04,-3.597e-04
4.25,4.0,4.5,5.496e-03,3.034e-05,-3.034e-05,3.025e-04,-3.025e-04,2.401e-04,-2.401e-04
4.75,4.5,5.0,3.126e-03,2.282e-05,-2.282e-05,1.725e-04,-1.725e-04,1.355e-04,-1.355e-04
5.25,5.0,5.5,1.881e-03,1.752e-05,-1.752e-05,1.024e-04,-1.024e-04,8.238e-05,-8.238e-05
5.75,5.5,6.0,1.158e-03,1.375e-05,-1.375e-05,6.278e-05,-6.278e-05,4.995e-05,-4.995e-05
6.25,6.0,6.5,7.343e-04,1.076e-05,-1.076e-05,4.001e-05,-4.001e-05,3.181e-05,-3.181e-05
6.75,6.5,7.0,4.978e-04,8.858e-06,-8.858e-06,2.704e-05,-2.704e-05,2.149e-05,-2.149e-05
7.5,7.0,8.0,2.903e-04,4.783e-06,-4.783e-06,1.583e-05,-1.583e-05,1.269e-05,-1.269e-05
